Evento,Nombre,Apellido,Pais,Arrancada,Dos_Tiempos,Total,Año,Género
73 kg (06.04),Briken,Calja,Albania,152.0,184.0,336.0,2021,Masculino
81 kg (07.04),Ritvars,Suharevs,Letonia,157.0,190.0,347.0,2021,Masculino
89 kg (08.04),Andranik,Karapetian,Armenia,170.0,195.0,365.0,2021,Masculino
96 kg (09.04),Hakob,Mkrtchian,Armenia,160.0,212.0,372.0,2021,Masculino
102 kg (10.04),Dadaş,Dadaşbəyli,Azerbaiyán,177.0,202.0,379.0,2021,Masculino
109 kg (10.04),Timur,Naniyev,Rusia,184.0,217.0,401.0,2021,Masculino
+109 kg (11.04),Varazdat,Lalayan,Armenia,205.0,240.0,445.0,2021,Masculino
45 kg (03.04),Melisa,Güneş,Turquía,68.0,83.0,151.0,2021,Femenino
49 kg (03.04),Mihaela,Cambei,Rumania,80.0,100.0,180.0,2021,Femenino
55 kg (04.04),Nina,Sterckx,Bélgica,88.0,109.0,197.0,2021,Femenino
59 kg (05.04),Dora,Tchakounté,Francia,95.0,115.0,210.0,2021,Femenino
64 kg (06.04),Anastasiya,Anzorova,Rusia,100.0,122.0,222.0,2021,Femenino
71 kg (07.04),Raluca,Olaru,Rumania,98.0,120.0,218.0,2021,Femenino
76 kg (08.04),Anastasiya,Romanova,Rusia,111.0,132.0,243.0,2021,Femenino
81 kg (09.04),Liana,Guiurdzhian,Armenia,98.0,129.0,227.0,2021,Femenino
87 kg (10.04),Daria,Riazanova,Rusia,105.0,135.0,240.0,2021,Femenino
+87 kg (11.04),Melike,Günal,Turquía,108.0,135.0,243.0,2021,Femenino
55 kg (29.05),Dmytro,Voronovsky,Ucrania,108.0,134.0,242.0,2022,Masculino
61 kg (29.05),Gabriel,Marinov,Bulgaria,122.0,157.0,279.0,2022,Masculino
67 kg (30.05),Acorán,Hernández Mendoza,España,138.0,161.0,299.0,2022,Masculino
73 kg (31.05),Piotr,Kudłaszyk,Polonia,143.0,181.0,324.0,2022,Masculino
81 kg (01.06),Bozhidar,Andreev,Bulgaria,153.0,190.0,343.0,2022,Masculino
89 kg (02.06),Revaz,Davitadze,Georgia,171.0,198.0,369.0,2022,Masculino
96 kg (03.06),Romain,Imadouchène,Francia,160.0,210.0,370.0,2022,Masculino
102 kg (04.06),Marcos,Ruiz Velasco,España,176.0,208.0,384.0,2022,Masculino
109 kg (04.06),Arsen,Martirosian,Armenia,170.0,201.0,371.0,2022,Masculino
+109 kg (05.06),Gor,Minasian,Armenia,210.0,236.0,446.0,2022,Masculino
45 kg (28.05),Radmila,Zagorac,Serbia,68.0,84.0,152.0,2022,Femenino
49 kg (28.05),María,Giménez-Guervos,España,72.0,91.0,163.0,2022,Femenino
55 kg (29.05),Nina,Sterckx,Bélgica,94.0,111.0,205.0,2022,Femenino
