Evento,Año,Género,Medalla,Nombre,Apellido,Pais,Arrancada,Dos_Tiempos,Total
81 kg (19.04),2023,Masculino,Plata,Batu,Han Yüksel,Turquía,152.0,187.0,339.0
89 kg (20.04),2023,Masculino,Plata,Andranik,Karapetian,Armenia,178.0,196.0,374.0
96 kg (21.04),2023,Masculino,Plata,Ara,Aghanian,Armenia,165.0,199.0,364.0
102 kg (22.04),2023,Masculino,Plata,Irakli,Chjeidze,Georgia,173.0,214.0,387.0
109 kg (22.04),2023,Masculino,Plata,Guiorgui,Chjeidze,Georgia,173.0,208.0,381.0
+109 kg (23.04),2023,Masculino,Plata,Varazdat,Lalayan,Armenia,212.0,250.0,462.0
45 kg (15.04),2023,Femenino,Plata,Adriana,Pană,Rumania,70.0,83.0,153.0
49 kg (15.04),2023,Femenino,Plata,Giulia,Imperio,Italia,83.0,100.0,183.0
55 kg (16.04),2023,Femenino,Plata,Svitlana,Samuliak,Ucrania,90.0,109.0,199.0
59 kg (17.04),2023,Femenino,Plata,Nina,Sterckx,Bélgica,93.0,116.0,209.0
64 kg (18.04),2023,Femenino,Plata,Mariya,Hanhur,Ucrania,98.0,116.0,214.0
71 kg (19.04),2023,Femenino,Plata,Giulia,Miserendino,Italia,105.0,125.0,230.0
76 kg (20.04),2023,Femenino,Plata,Tatev,Hakobian,Armenia,104.0,122.0,226.0
81 kg (21.04),2023,Femenino,Plata,Dilara,Narin,Turquía,101.0,134.0,235.0
87 kg (22.04),2023,Femenino,Plata,Anastasiya,Manievska,Ucrania,108.0,130.0,238.0
+87 kg (23.04),2023,Femenino,Plata,Anastasiya,Hotfrid,Georgia,117.0,135.0,252.0
55 kg (13.02),2024,Masculino,Plata,Ramin,Shamilishvili,Georgia,111.0,130.0,241.0
61 kg (13.02),2024,Masculino,Plata,Ivan,Dimov,Bulgaria,130.0,150.0,280.0
67 kg (14.02),2024,Masculino,Plata,Kaan,Kahriman,Turquía,142.0,168.0,310.0
73 kg (15.02),2024,Masculino,Plata,Muhammed,Özbek,Turquía,150.0,186.0,336.0
81 kg (16.02),2024,Masculino,Plata,Kristi,Ramadani,Albania,151.0,190.0,341.0
89 kg (17.02),2024,Masculino,Plata,Antonino,Pizzolato,Italia,170.0,210.0,380.0
96 kg (18.02),2024,Masculino,Plata,Davit,Hovhannisian,Armenia,169.0,205.0,374.0
102 kg (19.02),2024,Masculino,Plata,Samvel,Gasparian,Armenia,180.0,216.0,396.0
109 kg (19.02),2024,Masculino,Plata,Jristo,Jristov,Bulgaria,175.0,205.0,380.0
+109 kg (20.02),2024,Masculino,Plata,Simon,Martirosian,Armenia,190.0,247.0,437.0
45 kg (12.02),2024,Femenino,Plata,Gamze,Altun,Turquía,65.0,92.0,157.0
49 kg (12.02),2024,Femenino,Plata,Oliwia,Drzazga,Polonia,74.0,96.0,170.0
55 kg (13.02),2024,Femenino,Plata,Celine,Delia,Italia,84.0,111.0,195.0
59 kg (14.02),2024,Femenino,Plata,Dora,Tchakounté,Francia,98.0,117.0,215.0
64 kg (15.02),2024,Femenino,Plata,Svitlana,Samuliak,Ucrania,101.0,118.0,219.0
71 kg (16.02),2024,Femenino,Plata,Siuzanna,Valodzka,AIN,105.0,130.0,235.0
76 kg (17.02),2024,Femenino,Plata,Nikol,Rubanovich,Israel,99.0,117.0,216.0
81 kg (18.02),2024,Femenino,Plata,Elena,Erighina,Moldavia,103.0,131.0,234.0
87 kg (19.02),2024,Femenino,Plata,Anastasiya,Manievska,Ucrania,102.0,128.0,230.0
+87 kg (20.02),2024,Femenino,Plata,Anastasiya,Hotfrid,Georgia,117.0,140.0,257.0
55 kg (04.04),2021,Masculino,Bronce,Dmytro,Voronovsky,Ucrania,110.0,137.0,247.0
61 kg (04.04),2021,Masculino,Bronce,Ferdi,Hardal,Turquía,130.0,157.0,287.0
67 kg (05.04),2021,Masculino,Bronce,Valentin,Guenchev,Bulgaria,138.0,177.0,315.0
73 kg (06.04),2021,Masculino,Bronce,Briken,Calja,Albania,152.0,184.0,336.0
81 kg (07.04),2021,Masculino,Bronce,Ritvars,Suharevs,Letonia,157.0,190.0,347.0
89 kg (08.04),2021,Masculino,Bronce,Andranik,Karapetian,Armenia,170.0,195.0,365.0
